"message","created_time","id","store_name","story"
"Ok so our sweeper quit today went and bought a ""new"" one at Walmart well we came home watched a movie then I decided to open it and sweep the floor got the handle put on then noticed it had already been used.it had hair and dirt in the filter and the container the latest collects the dirt. We paid full price for something that had obviously be returned. So called walmart lady was rude and said bring it back with receipt and could get a new one. Who's to say the next one won't be the same. It was sealed and everything like a brand new one would be. I don't mind buying a return at a discounted price not brand new price. End of rant.\nso ???? is this a new walmart policy to sell used items at  new price","2016-09-26T00:37:02+0000","127217884039924_1195644680530567","Walmart100",
"Cannot sign into my account changed my password, but it says it doesn't match! Then it says it will send me a verification code to reset my password, but the verification code won't work....really?????","2016-09-19T20:58:01+0000","127217884039924_1190455577716144","Walmart100",
"North little rock McCain store is forbidding service dogs to enter your store. Not good.","2016-09-14T04:46:38+0000","127217884039924_1185738794854489","Walmart100",
"Did u ever have a CourtneyJenell Noel that maybe have worked for this company?","2016-08-20T08:29:08+0000","127217884039924_1163371243757911","Walmart100",
"Does anyone know my daughter Katey Petersen? She moved from Ohio to Bentonville in October.  We have not heard from her since January of 2015.  We love and miss her very much.","2016-08-11T01:17:24+0000","127217884039924_1156011151160587","Walmart100",
"So my Daughter and I, carrying on a decade plus tradition of standing in line for the newest Harry Potter release, make a path to the Bentonville super center.\nOn arrival we find none of the books out, no line ETC.\nSo we ask an associate, who was wearing a yellow vest, walking with two or three others across the store.\nOn inquiry, the answer from this person was.... That's not until tomorrow night, midnight...as she walks away waving her arms.\nHuh? Noooo.... The release is set for midnight July 30 (tonight)... So the book is sold at the stroke of July 31.\nNo problem... We're at Barnes and Noble, where they know how to read a clock and calendar.\nEnjoy the slack initial sales WM!","2016-07-31T04:08:07+0000","127217884039924_1147989608629408","Walmart100",
"i dont know if its right or wrong to post this on here but im very passionate about this issue. I will make it very simple. I agree with the payraises for new hires and others, but i just had my 6 year anniversery a few days ago, Im making $10.50 per , hour ... I started at $810hr 6 years ago. Ive worked hard to move up the payscale ladder. Now new hires are making $10.50 after 6 months. Can i recieve a response from the home office. I work in denison texas 0147. I just want fairness to all employees","2016-07-23T16:58:06+0000","127217884039924_1142645319163837","Walmart100",
"I like shopping at walmart.","2016-07-22T06:35:30+0000","127217884039924_1141700099258359","Walmart100",
"https://www.facebook.com/bellavistabirds/photos/a.820458811303321.1073741827.818741351475067/1366769040005626/?type=3","2016-07-01T16:48:24+0000","127217884039924_1367364709946059","Walmart100","Bella Vista Birds shared a photo to Walmart Bentonville - S Walton Blvd's Timeline."
"Hi, are you shiping to Mauritius?","2016-07-01T09:29:49+0000","127217884039924_1127678993993803","Walmart100",
"I called about a purchase to make on line and I was on hold so long, my cell phone battery gave out. Walmart is Clearly NOT ready for on-line business.....no way...no how.","2016-06-17T17:33:46+0000","127217884039924_1119037134857989","Walmart100",
"I like shopping at walmart.","2016-06-16T09:58:39+0000","127217884039924_1118193098275726","Walmart100",
